iter	Passed	Remaining
0	0	76
1	1	68
2	2	64
3	2	60
4	3	59
5	3	57
6	4	56
7	5	58
8	5	58
9	6	57
10	6	56
11	7	55
12	8	54
13	8	54
14	9	53
15	10	52
16	11	54
17	11	53
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	47
26	17	47
27	18	47
28	19	46
29	19	46
30	20	46
31	21	45
32	22	45
33	23	45
34	24	44
35	24	44
36	25	43
37	26	43
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
